LOEPENR	PARADIGME_ID	BOY_NUMMER	BOY_GRUPPE	BOY_UTTRYKK
1	001	1	verb, normal	e
2	001	2	verb, normal	er
3	001	3	verb, normal	es
4	001	4	verb, normal	a
5	001	5	verb, normal	a
6	001	6	verb, normal	a
7	001	7	verb, normal	a
8	001	8	verb, normal	a
9	001	9	verb, normal	a
10	001	10	verb, normal	ende
11	001	11	verb, normal	
12	002	1	verb, normal	++e
13	002	2	verb, normal	++er
14	002	3	verb, normal	++es
15	002	4	verb, normal	++a
16	002	5	verb, normal	++a
17	002	6	verb, normal	++a
18	002	7	verb, normal	++a
19	002	8	verb, normal	++a
20	002	9	verb, normal	++a
21	002	10	verb, normal	++ende
22	002	11	verb, normal	+
23	003	1	verb, normal	
24	003	2	verb, normal	r
25	003	3	verb, normal	s
26	003	4	verb, normal	a
27	003	5	verb, normal	a
28	003	6	verb, normal	a
29	003	7	verb, normal	a
30	003	8	verb, normal	a
31	003	9	verb, normal	a
32	003	10	verb, normal	ende
33	003	11	verb, normal	
34	004	1	verb, normal	+je
35	004	2	verb, normal	+jer
36	004	3	verb, normal	+jes
37	004	4	verb, normal	+ja
38	004	5	verb, normal	+ja
39	004	6	verb, normal	+ja
40	004	7	verb, normal	+ja
41	004	8	verb, normal	+ja
42	004	9	verb, normal	+ja
43	004	10	verb, normal	+jende
44	004	11	verb, normal	+
45	007	1	verb, normal	e
46	007	2	verb, normal	er
47	007	3	verb, normal	es
48	007	4	verb, normal	a
49	007	5	verb, normal	a
50	007	6	verb, normal	a
51	007	7	verb, normal	a
52	007	8	verb, normal	a
53	007	9	verb, normal	a
54	007	10	verb, normal	ende
55	007	11	verb, normal	e
56	010	1	verb, normal	e
57	010	2	verb, normal	er
58	010	3	verb, normal	es
59	010	4	verb, normal	et
60	010	5	verb, normal	et
61	010	6	verb, normal	et
62	010	7	verb, normal	et
63	010	8	verb, normal	ete
64	010	9	verb, normal	ete
65	010	10	verb, normal	ende
66	010	11	verb, normal	
67	011	1	verb, normal	e
68	011	2	verb, normal	er
69	011	3	verb, normal	es
70	011	4	verb, normal	et
71	011	5	verb, normal	et
72	011	6	verb, normal	et
73	011	7	verb, normal	et
74	011	8	verb, normal	ede
75	011	9	verb, normal	ede
76	011	10	verb, normal	ende
77	011	11	verb, normal	
78	012	1	verb, normal	++e
79	012	2	verb, normal	++er
80	012	3	verb, normal	++es
81	012	4	verb, normal	++et
82	012	5	verb, normal	++et
83	012	6	verb, normal	++et
84	012	7	verb, normal	++et
85	012	8	verb, normal	++ete
86	012	9	verb, normal	++ete
87	012	10	verb, normal	++ende
88	012	11	verb, normal	+
89	013	1	verb, normal	
90	013	2	verb, normal	r
91	013	3	verb, normal	s
92	013	4	verb, normal	et
93	013	5	verb, normal	et
94	013	6	verb, normal	et
95	013	7	verb, normal	et
96	013	8	verb, normal	ete
97	013	9	verb, normal	ete
98	013	10	verb, normal	ende
99	013	11	verb, normal	
100	014	1	verb, normal	+je
101	014	2	verb, normal	+jer
102	014	3	verb, normal	+jes
103	014	4	verb, normal	+jet
104	014	5	verb, normal	+jet
105	014	6	verb, normal	+jet
106	014	7	verb, normal	+jet
107	014	8	verb, normal	+jete
108	014	9	verb, normal	+jete
109	014	10	verb, normal	+jende
110	014	11	verb, normal	+
111	015	1	verb, normal	++e
112	015	2	verb, normal	++er
113	015	3	verb, normal	++es
114	015	4	verb, normal	++et
115	015	5	verb, normal	++et
116	015	6	verb, normal	++et
117	015	7	verb, normal	++et
118	015	8	verb, normal	++ede
119	015	9	verb, normal	++ede
120	015	10	verb, normal	++ende
121	015	11	verb, normal	+
122	016	1	verb, normal	
123	016	2	verb, normal	r
124	016	3	verb, normal	s
125	016	4	verb, normal	et
126	016	5	verb, normal	et
127	016	6	verb, normal	et
128	016	7	verb, normal	et
129	016	8	verb, normal	ede
130	016	9	verb, normal	ede
131	016	10	verb, normal	ende
132	016	11	verb, normal	
133	017	1	verb, normal	e
134	017	2	verb, normal	er
135	017	3	verb, normal	es
136	017	4	verb, normal	et
137	017	5	verb, normal	et
138	017	6	verb, normal	et
139	017	7	verb, normal	et
140	017	8	verb, normal	ete
141	017	9	verb, normal	ete
142	017	10	verb, normal	ende
143	017	11	verb, normal	e
144	018	1	verb, normal	+je
145	018	2	verb, normal	+jer
146	018	3	verb, normal	+jes
147	018	4	verb, normal	+jet
148	018	5	verb, normal	+jet
149	018	6	verb, normal	+jet
150	018	7	verb, normal	+jet
151	018	8	verb, normal	+jede
152	018	9	verb, normal	+jede
153	018	10	verb, normal	+jende
154	018	11	verb, normal	+
155	019	1	verb, normal	e
156	019	2	verb, normal	er
157	019	3	verb, normal	es
158	019	4	verb, normal	et
159	019	5	verb, normal	et
160	019	6	verb, normal	et
161	019	7	verb, normal	et
162	019	8	verb, normal	ede
163	019	9	verb, normal	ede
164	019	10	verb, normal	ende
165	019	11	verb, normal	e
166	020	1	verb, normal	e
167	020	2	verb, normal	er
168	020	3	verb, normal	es
169	020	4	verb, normal	te
170	020	5	verb, normal	t
171	020	6	verb, normal	t
172	020	7	verb, normal	t
173	020	8	verb, normal	te
174	020	9	verb, normal	te
175	020	10	verb, normal	ende
176	020	11	verb, normal	
177	021	1	verb, normal	++e
178	021	2	verb, normal	++er
179	021	3	verb, normal	++es
180	021	4	verb, normal	+te
181	021	5	verb, normal	+t
182	021	6	verb, normal	+t
183	021	7	verb, normal	+t
184	021	8	verb, normal	+te
185	021	9	verb, normal	+te
186	021	10	verb, normal	++ende
187	021	11	verb, normal	++
188	022	1	verb, normal	++e
189	022	2	verb, normal	++er
190	022	3	verb, normal	++es
191	022	4	verb, normal	+te
192	022	5	verb, normal	+t
193	022	6	verb, normal	+t
194	022	7	verb, normal	+t
195	022	8	verb, normal	+te
196	022	9	verb, normal	+te
197	022	10	verb, normal	++ende
198	022	11	verb, normal	+
199	023	1	verb, normal	je
200	023	2	verb, normal	jer
201	023	3	verb, normal	jes
202	023	4	verb, normal	te
203	023	5	verb, normal	t
204	023	6	verb, normal	t
205	023	7	verb, normal	t
206	023	8	verb, normal	te
207	023	9	verb, normal	te
208	023	10	verb, normal	ende
209	023	11	verb, normal	
210	027	1	verb, normal	i+e
211	027	2	verb, normal	i+er
212	027	3	verb, normal	i+es
213	027	4	verb, normal	je+
214	027	5	verb, normal	i+t
215	027	6	verb, normal	i+t
216	027	7	verb, normal	i+t
217	027	8	verb, normal	i+te
218	027	9	verb, normal	i+te
219	027	10	verb, normal	i+ende
220	027	11	verb, normal	i+
221	030	1	verb, normal	e
222	030	2	verb, normal	er
223	030	3	verb, normal	es
224	030	4	verb, normal	de
225	030	5	verb, normal	d
226	030	6	verb, normal	d
227	030	7	verb, normal	d
228	030	8	verb, normal	de
229	030	9	verb, normal	de
230	030	10	verb, normal	ende
231	030	11	verb, normal	
232	031	1	verb, normal	++e
233	031	2	verb, normal	++er
234	031	3	verb, normal	++es
235	031	4	verb, normal	+de
236	031	5	verb, normal	+d
237	031	6	verb, normal	+d
238	031	7	verb, normal	+d
239	031	8	verb, normal	+de
240	031	9	verb, normal	+de
241	031	10	verb, normal	++ende
242	031	11	verb, normal	++
243	033	1	verb, normal	je
244	033	2	verb, normal	jer
245	033	3	verb, normal	jes
246	033	4	verb, normal	de
247	033	5	verb, normal	d
248	033	6	verb, normal	d
249	033	7	verb, normal	d
250	033	8	verb, normal	de
251	033	9	verb, normal	de
252	033	10	verb, normal	ende
253	033	11	verb, normal	
254	040	1	verb, normal	
255	040	2	verb, normal	r
256	040	3	verb, normal	s
257	040	4	verb, normal	dde
258	040	5	verb, normal	dd
259	040	6	verb, normal	dd
260	040	7	verb, normal	dd
261	040	8	verb, normal	dde
262	040	9	verb, normal	dde
263	040	10	verb, normal	ende
264	040	11	verb, normal	
265	041	1	verb, normal	
266	041	2	verb, normal	r
267	041	3	verb, normal	s
268	041	4	verb, normal	dde
269	041	5	verb, normal	dd
270	041	6	verb, normal	dd
271	041	7	verb, normal	dd
272	041	8	verb, normal	dde
273	041	9	verb, normal	dde
274	041	10	verb, normal	dende
275	041	11	verb, normal	
276	042	1	verb, normal	
277	042	2	verb, normal	r
278	042	3	verb, normal	s
279	042	4	verb, normal	dte
280	042	5	verb, normal	dt
281	042	6	verb, normal	dt
282	042	7	verb, normal	dt
283	042	8	verb, normal	dte
284	042	9	verb, normal	dte
285	042	10	verb, normal	ende
286	042	11	verb, normal	
287	043	1	verb, normal	e
288	043	2	verb, normal	er
289	043	3	verb, normal	es
290	043	4	verb, normal	dde
291	043	5	verb, normal	dd
292	043	6	verb, normal	dd
293	043	7	verb, normal	dd
294	043	8	verb, normal	dde
295	043	9	verb, normal	dde
296	043	10	verb, normal	ende
297	043	11	verb, normal	
298	044	1	verb, normal	je
299	044	2	verb, normal	jer
300	044	3	verb, normal	jes
301	044	4	verb, normal	de
302	044	5	verb, normal	d
303	044	6	verb, normal	d
304	044	7	verb, normal	d
305	044	8	verb, normal	de
306	044	9	verb, normal	de
307	044	10	verb, normal	ende
308	044	11	verb, normal	
309	045	1	verb, normal	
310	045	2	verb, normal	r
311	045	3	verb, normal	s
312	045	4	verb, normal	de
313	045	5	verb, normal	dd
314	045	6	verb, normal	dd
